Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state
1146,Mike Dunleavy,190.0,81.0,University of South Carolina,1954.0,Brooklyn,New York
1359,Gerald Henderson,188.0,79.0,Virginia Commonwealth University,1956.0,Richmond,Virginia
1406,Larry Drew,185.0,77.0,University of Missouri,1958.0,Kansas City,Kansas
1507,Larry Nance,208.0,92.0,Clemson University,1959.0,Anderson,South Carolina
1706,Michael Young,201.0,99.0,University of Houston,1961.0,Houston,Texas
1994,Tim Hardaway,183.0,79.0,University of Texas at El Paso,1966.0,Chicago,Illinois
2357,Glenn Robinson,201.0,102.0,Purdue University,1973.0,Gary,Indiana
2535,Tim Duncan,211.0,113.0,Wake Forest University,1976.0,St. Croix,U.S. Virgin Islands
2590,Vince Carter,198.0,99.0,University of North Carolina,1977.0,Daytona Beach,Florida
2626,Dirk Nowitzki,213.0,111.0,,1978.0,Wurzburg,Germany
2630,Paul Pierce,201.0,106.0,University of Kansas,1977.0,Oakland,California
2700,Jason Terry,188.0,83.0,University of Arizona,1977.0,Seattle,Washington
2717,Jamal Crawford,196.0,90.0,University of Michigan,1980.0,Seattle,Washington
2793,Tyson Chandler,216.0,108.0,,1982.0,Hanford,California
2808,Pau Gasol,213.0,113.0,,1980.0,Barcelona,Spain
2815,Mike James,188.0,85.0,Duquesne University,1975.0,Copaigue,New York
2816,Richard Jefferson,201.0,105.0,University of Arizona,1980.0,Los Angeles,California
2817,Joe Johnson,201.0,90.0,University of Iowa,1947.0,Carthage,Mississippi
2823,Tony Parker,188.0,83.0,,1982.0,Bruges,Belgium
2825,Zach Randolph,206.0,117.0,Michigan State University,1981.0,Marion,Indiana
2853,Caron Butler,201.0,103.0,University of Connecticut,1980.0,Racine,Wisconsin
2860,Manu Ginobili,198.0,92.0,,1977.0,Bahia Blanca,Argentina
2867,Nene Hilario,211.0,113.0,,1982.0,Sao Carlos,Brazil
2907,Carmelo Anthony,203.0,108.0,Syracuse University,1984.0,New York,New York
2909,Leandro Barbosa,190.0,87.0,,1982.0,San Paulo,Brazil
2910,Matt Barnes,203.0,95.0,Providence College,1952.0,Providence,Rhode Island
2916,Chris Bosh,211.0,106.0,Georgia Institute of Technology,1984.0,Dallas,Texas
2939,Udonis Haslem,203.0,106.0,University of Florida,1980.0,Miami,Florida
2944,LeBron James,203.0,113.0,,1984.0,Akron,Ohio
2951,Kyle Korver,201.0,96.0,Creighton University,1981.0,Lakewood,California
2957,Zaza Pachulia,211.0,122.0,,1984.0,Tbilisi,Georgia
2970,Dwyane Wade,193.0,99.0,Marquette University,1982.0,Chicago,Illinois
2972,David West,206.0,113.0,Xavier University,1980.0,Teaneck,New Jersey
2974,Tony Allen,193.0,96.0,Oklahoma State University,1982.0,Chicago,Illinois
2976,Trevor Ariza,203.0,97.0,"University of California, Los Angeles",1985.0,Miami,Florida
2987,Nick Collison,208.0,115.0,University of Kansas,1980.0,Orange City,Iowa
2989,Carlos Delfino,198.0,104.0,,1982.0,Santa Fe,Argentina
2990,Luol Deng,206.0,99.0,Duke University,1985.0,Wow,South Sudan
